Date,Sales,Price,Quantity,Store,Region,Discount
10-01-2025,1477,50,48,Amazon,North,5%
10-01-2025,1626,117,12,Amazon,South,20%
10-01-2025,1650,74,31,Amazon,West,10%
10-01-2025,1723,13,34,Flipkart,East,10%
10-01-2025,2075,24,56,Flipkart,East,5%
10-01-2025,676,30,17,Flipkart,North,15%
10-01-2025,849,88,44,Flipkart,North,10%
10-01-2025,1089,93,11,Flipkart,South,15%
10-01-2025,526,44,24,Flipkart,West,20%
10-01-2025,1384,112,10,Myntra,East,10%
10-01-2025,789,114,23,Myntra,East,10%
10-01-2025,935,28,20,Myntra,North,15%
10-01-2025,2017,15,40,Myntra,North,5%
10-01-2025,2136,87,20,Myntra,South,10%
10-01-2025,1844,53,46,Myntra,West,10%
10-01-2025,2351,19,14,Myntra,West,20%
11-01-2025,797,95,37,Ajio,East,15%
11-01-2025,1978,101,26,Ajio,North,15%
11-01-2025,998,38,31,Ajio,North,10%
11-01-2025,621,46,54,Ajio,West,5%
11-01-2025,1759,80,57,Ajio,West,15%
11-01-2025,2238,19,38,Ajio,West,20%
11-01-2025,1141,41,48,Ajio,West,10%
11-01-2025,1856,14,38,Amazon,East,10%
11-01-2025,1145,8,37,Amazon,West,10%
11-01-2025,1364,15,32,Flipkart,East,20%
11-01-2025,2127,12,12,Flipkart,North,10%
11-01-2025,968,69,57,Flipkart,North,20%
11-01-2025,1039,32,51,Flipkart,North,5%
11-01-2025,2169,73,35,Flipkart,South,20%
11-01-2025,691,63,52,Flipkart,West,20%
11-01-2025,2314,50,17,Flipkart,West,20%
11-01-2025,1221,105,50,Myntra,East,10%
11-01-2025,752,104,18,Myntra,East,5%
11-01-2025,512,109,18,Myntra,South,15%
11-01-2025,2205,29,41,Myntra,South,5%
11-01-2025,1847,82,51,Myntra,South,15%
11-01-2025,765,67,20,Myntra,South,20%
11-01-2025,581,75,46,Myntra,West,10%
12-01-2025,1520,81,41,Ajio,East,15%
12-01-2025,816,55,27,Ajio,East,5%
12-01-2025,2306,12,24,Ajio,North,20%
12-01-2025,1369,74,55,Ajio,North,20%
12-01-2025,2120,63,23,Ajio,North,5%
12-01-2025,1395,24,47,Ajio,North,15%
12-01-2025,1863,80,19,Ajio,South,10%
12-01-2025,2042,37,28,Ajio,South,20%
12-01-2025,1731,36,18,Amazon,North,15%
12-01-2025,2046,53,9,Amazon,West,10%
12-01-2025,1758,84,35,Amazon,West,10%
12-01-2025,676,113,48,Flipkart,East,15%
12-01-2025,1778,54,19,Flipkart,North,5%
12-01-2025,1363,20,28,Flipkart,North,15%
12-01-2025,1926,34,52,Flipkart,South,5%
12-01-2025,2329,47,51,Flipkart,West,10%
12-01-2025,952,20,24,Flipkart,West,20%
12-01-2025,1137,63,53,Myntra,East,5%
12-01-2025,1324,32,52,Myntra,North,5%
12-01-2025,556,50,24,Myntra,South,15%
12-01-2025,1399,111,28,Myntra,South,5%
12-01-2025,1561,42,48,Myntra,West,10%
12-01-2025,626,76,8,Myntra,West,15%
13-01-2025,872,64,56,Ajio,East,15%
13-01-2025,757,42,54,Ajio,East,15%
13-01-2025,1442,97,33,Ajio,East,10%
13-01-2025,2170,8,9,Ajio,East,15%
13-01-2025,617,108,33,Ajio,South,20%
13-01-2025,1052,76,51,Ajio,South,5%
13-01-2025,2073,110,35,Ajio,West,10%
13-01-2025,1243,14,43,Amazon,East,15%
13-01-2025,1996,49,57,Amazon,East,20%
13-01-2025,855,86,57,Amazon,East,20%
13-01-2025,478,20,20,Amazon,South,20%
13-01-2025,637,72,19,Amazon,West,20%
13-01-2025,1018,79,17,Flipkart,East,20%
13-01-2025,589,86,33,Flipkart,South,5%
13-01-2025,625,108,20,Flipkart,West,10%
13-01-2025,2114,50,9,Flipkart,West,15%
13-01-2025,1140,40,47,Flipkart,West,20%
13-01-2025,1358,117,38,Myntra,East,10%
13-01-2025,1679,71,42,Myntra,East,20%
13-01-2025,2179,52,24,Myntra,North,10%
13-01-2025,589,83,22,Myntra,South,5%
13-01-2025,1840,96,29,Myntra,South,10%
13-01-2025,1318,51,22,Myntra,West,5%
13-01-2025,1662,88,42,Myntra,West,15%
14-01-2025,1634,20,54,Ajio,North,15%
14-01-2025,1678,79,22,Ajio,South,5%
14-01-2025,2362,90,38,Ajio,South,10%
14-01-2025,1346,35,37,Ajio,West,5%
14-01-2025,1125,85,19,Ajio,West,10%
14-01-2025,657,16,33,Amazon,North,20%
14-01-2025,1582,38,8,Amazon,North,10%
14-01-2025,870,108,29,Amazon,North,5%
14-01-2025,1167,61,57,Amazon,North,15%
14-01-2025,1165,59,53,Amazon,North,10%
14-01-2025,936,47,9,Amazon,South,5%
14-01-2025,876,96,20,Amazon,South,20%
14-01-2025,916,21,19,Amazon,South,20%
14-01-2025,1049,94,23,Amazon,West,10%
14-01-2025,1459,80,52,Amazon,West,10%
14-01-2025,579,43,22,Flipkart,North,20%
14-01-2025,1619,43,15,Flipkart,North,10%
14-01-2025,1476,34,31,Flipkart,North,10%
14-01-2025,2055,93,25,Flipkart,South,5%
14-01-2025,764,10,53,Flipkart,South,20%
14-01-2025,672,97,32,Flipkart,West,10%
14-01-2025,551,55,20,Flipkart,West,5%
14-01-2025,2051,66,19,Flipkart,West,5%
14-01-2025,488,22,28,Myntra,North,5%
14-01-2025,661,66,24,Myntra,North,20%
14-01-2025,681,38,20,Myntra,North,15%
15-01-2025,1375,105,20,Ajio,East,5%
15-01-2025,2253,64,17,Ajio,East,15%
15-01-2025,592,41,46,Ajio,East,15%
15-01-2025,1151,68,28,Ajio,South,10%
15-01-2025,1150,80,50,Ajio,South,15%
15-01-2025,1726,114,35,Ajio,South,5%
15-01-2025,740,84,19,Ajio,West,15%
15-01-2025,846,109,51,Ajio,West,20%
15-01-2025,1254,109,41,Amazon,North,20%
15-01-2025,785,55,39,Amazon,South,15%
15-01-2025,1631,96,44,Flipkart,North,5%
15-01-2025,2062,36,40,Flipkart,North,5%
15-01-2025,1105,78,18,Flipkart,North,20%
15-01-2025,1761,22,24,Flipkart,North,10%
15-01-2025,1213,85,31,Flipkart,West,15%
15-01-2025,1752,82,41,Myntra,East,5%
15-01-2025,416,102,16,Myntra,East,10%
15-01-2025,1712,58,52,Myntra,North,20%
15-01-2025,443,11,43,Myntra,South,10%
15-01-2025,649,70,11,Myntra,West,15%
16-01-2025,2091,73,26,Ajio,East,20%
16-01-2025,1006,20,57,Ajio,East,20%
16-01-2025,908,49,51,Ajio,North,5%
16-01-2025,1608,28,35,Ajio,West,15%
16-01-2025,1747,76,38,Amazon,East,5%
16-01-2025,490,113,15,Amazon,North,10%
16-01-2025,1926,53,45,Amazon,North,20%
16-01-2025,2105,19,30,Amazon,North,15%
16-01-2025,1863,19,42,Amazon,South,10%
16-01-2025,1549,14,39,Amazon,South,5%
16-01-2025,1021,109,13,Amazon,West,15%
16-01-2025,1530,67,17,Amazon,West,15%
16-01-2025,824,67,52,Amazon,West,5%
16-01-2025,730,28,23,Amazon,West,15%
16-01-2025,1206,14,33,Flipkart,East,20%
16-01-2025,1396,20,51,Flipkart,East,20%
16-01-2025,1277,29,21,Flipkart,East,15%
16-01-2025,1343,71,54,Flipkart,East,20%
16-01-2025,1472,112,48,Flipkart,East,5%
16-01-2025,2047,44,25,Flipkart,North,10%
16-01-2025,2205,94,33,Flipkart,West,5%
16-01-2025,1741,46,38,Myntra,East,15%
16-01-2025,1302,68,35,Myntra,East,10%
16-01-2025,1064,80,45,Myntra,North,20%
16-01-2025,813,16,54,Myntra,North,10%
16-01-2025,484,60,52,Myntra,North,10%
16-01-2025,1568,70,52,Myntra,South,15%
16-01-2025,1160,44,48,Myntra,South,10%
17-01-2025,1589,90,52,Ajio,North,15%
17-01-2025,2150,69,55,Ajio,South,5%
17-01-2025,501,12,32,Ajio,South,15%
17-01-2025,682,8,35,Ajio,South,15%
17-01-2025,858,20,55,Ajio,West,20%
17-01-2025,891,63,10,Ajio,West,15%
17-01-2025,1491,13,26,Amazon,East,10%
17-01-2025,1611,99,37,Amazon,North,15%
17-01-2025,1559,16,48,Amazon,North,20%
17-01-2025,841,36,10,Amazon,South,20%
17-01-2025,895,39,35,Amazon,South,5%
17-01-2025,2317,12,33,Amazon,South,15%
17-01-2025,1298,26,33,Flipkart,East,20%
17-01-2025,1329,105,19,Flipkart,East,15%
17-01-2025,553,19,26,Flipkart,East,5%
17-01-2025,1793,31,17,Flipkart,North,5%
17-01-2025,2062,79,47,Flipkart,North,10%
17-01-2025,784,35,51,Flipkart,North,5%
17-01-2025,2321,92,33,Myntra,East,20%
17-01-2025,2024,19,29,Myntra,East,10%
17-01-2025,532,94,20,Myntra,North,20%
17-01-2025,1495,105,53,Myntra,South,10%
17-01-2025,1143,99,42,Myntra,South,10%
17-01-2025,1863,75,30,Myntra,West,20%
17-01-2025,1438,98,36,Myntra,West,15%
18-01-2025,1629,20,50,Ajio,East,10%
18-01-2025,2348,100,31,Ajio,East,20%
18-01-2025,661,42,30,Ajio,East,10%
18-01-2025,522,24,42,Ajio,East,5%
18-01-2025,472,12,33,Ajio,North,15%
18-01-2025,471,30,42,Ajio,North,10%
18-01-2025,2091,79,30,Ajio,South,5%
18-01-2025,487,34,49,Ajio,West,10%
18-01-2025,1035,14,10,Amazon,North,15%
18-01-2025,2124,100,39,Amazon,South,10%
18-01-2025,1753,78,35,Amazon,South,10%
18-01-2025,1109,84,56,Amazon,West,5%
18-01-2025,599,28,38,Amazon,West,5%
18-01-2025,2306,52,26,Amazon,West,20%
18-01-2025,1020,106,45,Flipkart,East,20%
18-01-2025,515,102,20,Flipkart,East,15%
18-01-2025,1933,111,17,Flipkart,East,15%
18-01-2025,1091,15,25,Flipkart,North,15%
18-01-2025,1841,9,19,Flipkart,North,20%
18-01-2025,901,102,23,Flipkart,West,15%
18-01-2025,2370,50,57,Myntra,East,5%
18-01-2025,656,13,35,Myntra,North,15%
18-01-2025,796,70,23,Myntra,North,5%
18-01-2025,449,63,45,Myntra,South,5%
19-01-2025,2019,97,45,Ajio,East,5%
19-01-2025,1696,47,39,Ajio,East,15%
19-01-2025,726,109,25,Ajio,North,20%
19-01-2025,765,38,23,Ajio,North,15%
19-01-2025,1614,92,49,Amazon,East,5%
19-01-2025,454,74,52,Amazon,North,20%
19-01-2025,542,84,36,Amazon,North,5%
19-01-2025,1406,80,17,Amazon,North,10%
19-01-2025,1764,19,36,Amazon,North,10%
19-01-2025,1274,16,12,Amazon,South,10%
19-01-2025,534,71,9,Amazon,South,20%
19-01-2025,2213,91,34,Amazon,West,15%
19-01-2025,525,60,41,Flipkart,East,5%
19-01-2025,1191,38,18,Flipkart,South,15%
19-01-2025,433,8,21,Myntra,West,10%
19-01-2025,521,105,21,Myntra,West,5%
20-01-2025,537,16,23,Ajio,North,15%
20-01-2025,1889,43,22,Ajio,North,20%
20-01-2025,2345,31,42,Ajio,South,10%
20-01-2025,654,21,41,Amazon,North,5%
20-01-2025,620,98,42,Amazon,South,20%
20-01-2025,1064,94,46,Amazon,West,5%
20-01-2025,1174,79,16,Amazon,West,5%
20-01-2025,1900,116,8,Flipkart,East,20%
20-01-2025,1419,99,36,Flipkart,West,15%
20-01-2025,2058,80,35,Flipkart,West,10%
20-01-2025,1130,25,18,Myntra,East,10%
20-01-2025,1002,23,38,Myntra,North,20%
20-01-2025,1384,66,12,Myntra,South,10%
20-01-2025,1766,44,23,Myntra,South,15%
21-01-2025,1326,104,42,Ajio,East,20%
21-01-2025,1458,76,31,Ajio,East,10%
21-01-2025,893,95,9,Ajio,North,15%
21-01-2025,1412,63,48,Ajio,West,5%
21-01-2025,2244,22,30,Ajio,West,10%
21-01-2025,1380,78,11,Ajio,West,10%
21-01-2025,943,58,23,Ajio,West,20%
21-01-2025,456,82,29,Amazon,East,5%
21-01-2025,1497,12,52,Amazon,South,20%
21-01-2025,731,59,46,Amazon,South,5%
21-01-2025,1826,15,13,Amazon,West,15%
21-01-2025,1414,31,16,Flipkart,East,10%
21-01-2025,1160,31,46,Flipkart,East,20%
21-01-2025,1693,71,33,Flipkart,North,10%
21-01-2025,1256,46,25,Flipkart,South,20%
21-01-2025,715,18,46,Flipkart,West,15%
21-01-2025,1591,109,10,Flipkart,West,10%
21-01-2025,1326,74,9,Flipkart,West,15%
21-01-2025,1587,17,32,Myntra,East,20%
21-01-2025,2135,44,56,Myntra,East,15%
21-01-2025,1499,58,28,Myntra,North,15%
21-01-2025,964,34,45,Myntra,North,20%
21-01-2025,822,114,23,Myntra,South,20%
21-01-2025,1038,111,35,Myntra,South,20%
21-01-2025,2054,90,30,Myntra,West,20%
21-01-2025,611,57,40,Myntra,West,10%
21-01-2025,672,22,24,Myntra,West,10%
21-01-2025,1963,110,27,Myntra,West,20%
22-01-2025,1913,36,32,Ajio,East,10%
22-01-2025,892,67,53,Ajio,East,5%
22-01-2025,1551,64,9,Ajio,North,20%
22-01-2025,1165,37,45,Ajio,South,5%
22-01-2025,571,29,29,Ajio,South,5%
22-01-2025,1571,88,15,Ajio,West,10%
22-01-2025,1276,83,55,Ajio,West,20%
22-01-2025,1898,34,10,Amazon,North,20%
22-01-2025,2077,26,16,Amazon,North,15%
22-01-2025,1971,22,14,Amazon,North,15%
22-01-2025,1390,20,35,Amazon,West,5%
22-01-2025,1288,95,32,Amazon,West,10%
22-01-2025,1045,102,38,Amazon,West,10%
22-01-2025,1946,24,40,Amazon,West,20%
22-01-2025,1093,106,52,Flipkart,East,10%
22-01-2025,2106,117,22,Flipkart,East,5%
22-01-2025,974,100,48,Flipkart,North,10%
22-01-2025,1672,8,32,Flipkart,North,5%
22-01-2025,1897,56,26,Flipkart,West,20%
22-01-2025,1806,114,10,Myntra,East,10%
22-01-2025,837,106,8,Myntra,East,20%
22-01-2025,1788,93,50,Myntra,North,10%
22-01-2025,874,91,36,Myntra,South,10%
22-01-2025,2061,78,40,Myntra,South,20%
22-01-2025,1517,52,15,Myntra,West,20%
23-01-2025,959,69,17,Ajio,East,20%
23-01-2025,510,71,40,Ajio,East,10%
23-01-2025,1999,116,47,Ajio,North,15%
23-01-2025,2361,25,22,Ajio,North,20%
23-01-2025,1544,42,10,Ajio,South,10%
23-01-2025,519,116,14,Amazon,East,15%
23-01-2025,717,22,9,Amazon,West,20%
23-01-2025,431,29,44,Flipkart,East,10%
23-01-2025,1962,66,28,Flipkart,North,5%
23-01-2025,836,69,54,Flipkart,South,15%
23-01-2025,596,52,28,Flipkart,South,10%
23-01-2025,1024,46,52,Flipkart,West,15%
23-01-2025,2344,90,52,Myntra,West,10%
23-01-2025,1360,79,57,Myntra,West,15%
24-01-2025,1895,115,16,Ajio,East,15%
24-01-2025,686,102,21,Ajio,North,10%
24-01-2025,1781,84,24,Ajio,North,10%
24-01-2025,2015,63,53,Ajio,North,15%
24-01-2025,2326,96,44,Ajio,West,5%
24-01-2025,1655,62,33,Amazon,East,5%
24-01-2025,2355,39,42,Amazon,East,5%
24-01-2025,972,68,26,Amazon,East,10%
24-01-2025,636,71,45,Amazon,North,15%
24-01-2025,2073,104,11,Amazon,North,5%
24-01-2025,1443,74,41,Amazon,South,5%
24-01-2025,1488,39,18,Amazon,West,20%
24-01-2025,1772,113,44,Flipkart,East,10%
24-01-2025,1300,65,47,Flipkart,North,15%
24-01-2025,2315,18,24,Flipkart,West,15%
24-01-2025,770,94,39,Myntra,North,15%
24-01-2025,526,60,38,Myntra,North,10%
24-01-2025,673,106,35,Myntra,South,15%
24-01-2025,1503,27,41,Myntra,West,10%
25-01-2025,2374,11,10,Ajio,North,10%
25-01-2025,1204,95,12,Ajio,South,5%
25-01-2025,1639,86,50,Ajio,South,20%
25-01-2025,1328,19,18,Ajio,South,20%
25-01-2025,1349,109,42,Ajio,West,10%
25-01-2025,2282,63,24,Amazon,East,5%
25-01-2025,2092,105,15,Amazon,North,20%
25-01-2025,1392,68,29,Amazon,North,10%
25-01-2025,2230,81,37,Amazon,West,10%
25-01-2025,1518,75,52,Flipkart,East,20%
25-01-2025,2261,35,16,Flipkart,East,15%
25-01-2025,1755,93,57,Flipkart,West,10%
25-01-2025,477,109,25,Flipkart,West,20%
25-01-2025,1155,96,35,Myntra,North,15%
25-01-2025,473,48,13,Myntra,South,15%
25-01-2025,991,80,29,Myntra,South,20%
25-01-2025,2293,25,19,Myntra,West,15%
25-01-2025,2021,35,25,Myntra,West,15%
26-01-2025,734,38,29,Ajio,East,15%
26-01-2025,2236,104,41,Ajio,East,5%
26-01-2025,1614,102,8,Ajio,North,10%
26-01-2025,1716,107,48,Ajio,North,15%
26-01-2025,1121,87,45,Ajio,South,15%
26-01-2025,1898,31,50,Ajio,South,15%
26-01-2025,1874,57,43,Ajio,South,5%
26-01-2025,1216,88,34,Ajio,South,5%
26-01-2025,2218,41,48,Ajio,South,5%
26-01-2025,1354,43,46,Amazon,East,10%
26-01-2025,640,69,33,Amazon,North,5%
26-01-2025,936,22,17,Flipkart,North,15%
26-01-2025,1599,17,25,Flipkart,South,20%
26-01-2025,2062,77,43,Flipkart,West,5%
26-01-2025,1522,115,51,Myntra,East,5%
26-01-2025,2104,96,34,Myntra,East,20%
26-01-2025,1705,54,11,Myntra,North,5%
26-01-2025,2004,116,36,Myntra,West,20%
27-01-2025,575,28,15,Ajio,East,10%
27-01-2025,1482,10,31,Ajio,East,10%
27-01-2025,801,61,54,Ajio,East,10%
27-01-2025,1100,88,56,Ajio,South,20%
27-01-2025,1295,97,34,Amazon,East,20%
27-01-2025,622,101,23,Amazon,East,10%
27-01-2025,812,64,19,Amazon,North,20%
27-01-2025,2171,25,46,Amazon,South,10%
27-01-2025,1383,39,8,Amazon,South,15%
27-01-2025,1906,20,49,Amazon,South,20%
